,year,city,gradeScore,sellingCondition,marketplacePrice,mileage,Transmission,make,model
11938,2013,Lagos,,foreign,7715000,0,Automatic,Mercedes-Benz,ML 350
11939,2012,Lagos,,foreign,11895000,0,Automatic,Mercedes-Benz,GL 450
11940,2009,Lagos,,foreign,0,65223,Automatic,Toyota,Venza
11941,2007,Lagos,,foreign,3350000,0,Automatic,Toyota,Camry
11942,2010,Lagos,,foreign,0,42851,Automatic,Toyota,Camry
11943,2017,Lagos,,foreign,25315000,35000,Automatic,Lexus,GX 460
11944,2010,Lagos,,foreign,3465000,46133,Automatic,Toyota,Corolla
11945,2020,Lagos,,new,0,53,Automatic,Toyota,Hilux
11946,2017,Lagos,,foreign,18165000,19249,Automatic,Toyota,Highlander
11947,2019,Lagos,,foreign,18165000,2000,Automatic,Honda,CR-V
11948,2010,Lagos,,foreign,5955000,80000,Automatic,Toyota,Highlander
11949,2016,Lagos,,foreign,40935000,22000,Automatic,Toyota,Land Cruiser
11950,2009,Lagos,,foreign,2890000,69850,Automatic,Toyota,RAV 4
11951,2012,Lagos,,foreign,8265000,76000,Automatic,Acura,ZDX
11952,2013,Lagos,,foreign,11015000,53000,Automatic,Mercedes-Benz,ML 350
11953,2009,Lagos,,foreign,3062500,0,Automatic,Toyota,Corolla
11954,2009,Lagos,,foreign,3755000,74924,Automatic,Toyota,Highlander
11955,2015,Lagos,,foreign,7000000,54432,Automatic,Toyota,Camry
11956,2007,Lagos,,foreign,0,160000,Automatic,Toyota,Camry
11957,2013,Lagos,,foreign,0,35771,Automatic,Lexus,RX 350
11958,2010,Lagos,,foreign,0,0,Automatic,Mercedes-Benz,ML 350
11959,2005,Lagos,,foreign,3465000,62123,Automatic,Lexus,ES 330
11960,2008,Lagos,,foreign,3235000,0,Automatic,Nissan,Pathfinder
11961,2004,Lagos,,foreign,2372500,0,Automatic,Toyota,Camry
11962,2008,Lagos,,foreign,5075000,63321,Automatic,Lexus,RX 350
11963,2008,Lagos,,foreign,0,0,Automatic,Lexus,RX 200
11964,2006,Lagos,,foreign,1153500,102773,Automatic,Honda,Accord
11965,2019,Lagos,,foreign,0,6000,Automatic,Volkswagen,Passat
11966,2002,Lagos,,foreign,1107500,0,Automatic,Toyota,Camry
11967,2007,Imo,,foreign,3975000,0,Automatic,Lexus,RX 350
11968,2014,Lagos,,foreign,8595000,116167,Automatic,Toyota,RAV 4
11969,2004,Lagos,,foreign,2545000,67000,Automatic,Lexus,ES 330
11970,2015,Lagos,,foreign,8265000,72231,Automatic,Toyota,RAV 4
11971,2015,Lagos,,foreign,7715000,55423,Automatic,Toyota,RAV 4
11972,2008,Lagos,,foreign,0,0,Automatic,Toyota,Camry
11973,2018,Lagos,,foreign,19815000,0,Automatic,Lexus,RX 350
11974,2010,Lagos,,foreign,3350000,45382,Automatic,Toyota,Corolla
11975,2013,Ibadan,,foreign,9145000,0,Automatic,Toyota,Sienna
11976,2009,Lagos,,foreign,3407500,90,Automatic,Acura,TL
11977,2008,Lagos,,foreign,3292500,1,Automatic,Toyota,Camry
11978,2010,Lagos,,foreign,3350000,95025,Automatic,Toyota,Corolla
11979,2007,Lagos,,foreign,0,88000,Automatic,Toyota,Tundra
11980,2004,Lagos,,foreign,2890000,0,Automatic,Toyota,Sienna
11981,2011,Lagos,,foreign,7165000,0,Automatic,Toyota,Venza
11982,2009,Lagos,,foreign,3645000,43000,Automatic,Mercedes-Benz,C 300
11983,2000,Lagos,,,0,124422,Automatic,Lexus,RX 300
11984,2008,Lagos,,foreign,0,100000,Automatic,Honda,Pilot
11985,2010,Lagos,,foreign,6450000,95085,Automatic,Toyota,Venza
11986,2006,Lagos,,foreign,6175000,92000,Automatic,Mercedes-Benz,ML 350
11987,2017,Lagos,,foreign,8265000,54,Automatic,Toyota,Corolla
11988,2015,Lagos,,foreign,17065000,0,Automatic,Toyota,Tundra
11989,2008,Lagos,,foreign,5515000,0,Automatic,Mercedes-Benz,GL 450
11990,2000,Lagos,,,0,100,Automatic,Toyota,Sienna
11991,2003,Lagos,,foreign,0,132516,Automatic,Lexus,RX 300
11992,2012,Lagos,,foreign,4855000,0,Automatic,Toyota,Camry
11993,2018,Lagos,,foreign,13215000,43560,Automatic,Honda,Accord
11994,2010,Lagos,,foreign,0,75965,Automatic,Toyota,Venza
11995,2020,Lagos,,foreign,21245000,888,Automatic,Honda,CR-V
11996,2011,Lagos,,foreign,0,0,Automatic,Toyota,Venza
11997,2008,Lagos,,foreign,4360000,55243,Automatic,Lexus,RX 200
11998,2012,Lagos,,foreign,6065000,1,Automatic,Toyota,Camry
11999,2016,Ibadan,,foreign,16515000,0,Automatic,Toyota,4-Runner
12000,2016,Lagos,,foreign,11015000,0,Automatic,Toyota,Highlander
12001,2012,Lagos,,foreign,4745000,0,Automatic,Toyota,RAV 4
12002,2009,Lagos,,foreign,5185000,0,Automatic,Toyota,Highlander
12003,2010,Lagos,,foreign,4800000,85369,Automatic,Toyota,RAV 4
12004,2001,Lagos,,foreign,1050000,102381,Automatic,Toyota,Carina
12005,2009,Lagos,,foreign,0,63312,Automatic,Toyota,Camry
12006,2014,Lagos,,foreign,33565000,0,Automatic,Mercedes-Benz,S 550
12007,2005,Lagos,,foreign,3865000,1,Automatic,Toyota,4-Runner
12008,2011,Lagos,,foreign,13215000,76000,Automatic,Land,Rover Range Rover Evoque
12009,2012,Lagos,,foreign,8265000,25000,Automatic,Mercedes-Benz,C 300
12010,2008,Lagos,,foreign,3755000,169169,Automatic,Lexus,ES 350
12011,2012,Lagos,,foreign,4965000,0,Automatic,Toyota,Camry
12012,2010,Lagos,,foreign,0,0,Automatic,Lexus,RX 200
12013,2006,Lagos,,foreign,3005000,84000,Automatic,Lexus,ES 300
12014,2010,Ibadan,,foreign,4690000,0,Automatic,Mercedes-Benz,C 300
12015,2007,Lagos,,foreign,3535000,71000,Automatic,Toyota,RAV 4
12016,2004,Lagos,,,0,96281,Automatic,Acura,MDX
12017,2010,Lagos,,foreign,4965000,0,Automatic,Toyota,RAV 4
12018,2006,Rivers,,foreign,1165000,0,Automatic,Toyota,Avensis
12019,2010,Lagos,,foreign,3975000,0,Automatic,Toyota,RAV 4
12020,2006,Osun,,foreign,2660000,0,Automatic,Volvo,XC90
12021,2014,Lagos,,foreign,12665000,48000,Automatic,Mercedes-Benz,E 350
12022,2012,Lagos,,,0,75893,Automatic,Toyota,Sienna
12023,2007,Lagos,,foreign,3292500,10000,Automatic,Toyota,RAV 4
12024,2009,Abuja,,foreign,3865000,0,Automatic,Mercedes-Benz,GLK 350
12025,2005,Lagos,,foreign,4085000,52000,Automatic,Toyota,Tacoma
12026,2004,Lagos,,foreign,1337500,95000,Automatic,Toyota,RAV 4
12027,2008,Lagos,,foreign,3465000,59112,Automatic,Toyota,Camry
12028,2008,Lagos,,foreign,3865000,0,Automatic,Toyota,RAV 4
12029,2000,Lagos,,foreign,2545000,0,Automatic,Lexus,RX 300
12030,2009,Lagos,,foreign,3120000,0,Automatic,Toyota,Corolla
12031,2012,Lagos,,foreign,5515000,0,Automatic,Toyota,Camry
12032,2016,Lagos,,foreign,19815000,0,Automatic,Lexus,GX 460
12033,2005,Lagos,,foreign,1970000,30000,Automatic,Lexus,ES 330
12034,2008,Lagos,,foreign,3535000,0,Automatic,Ford,Edge
12035,2001,Rivers,,foreign,797000,0,Automatic,Toyota,Camry
12036,2011,Lagos,,foreign,4195000,0,Automatic,Toyota,RAV 4
12037,2010,Lagos,,foreign,4965000,0,Automatic,Toyota,RAV 4
12038,2007,Lagos,,foreign,3645000,72132,Automatic,Toyota,RAV 4
12039,2018,Lagos,,new,62715000,45,Automatic,Toyota,Land Cruiser
12040,2009,Lagos,,foreign,3292500,76000,Automatic,Toyota,Corolla
12041,2008,Lagos,,foreign,3120000,97510,Automatic,Acura,MDX
12042,2009,Lagos,,foreign,0,0,Automatic,Acura,MDX
12043,2006,Lagos,,,0,63505,Automatic,Nissan,Pathfinder
12044,2009,Ogun,,foreign,5295000,200000,Automatic,Toyota,Highlander
12045,2008,Lagos,,foreign,0,0,Automatic,Lexus,ES 350
12046,2008,Lagos,,foreign,0,1,Automatic,Lexus,ES 300
12047,2009,Lagos,,foreign,0,94226,Automatic,Honda,Accord
12048,2012,Lagos,,foreign,7275000,67000,Automatic,Toyota,Highlander
12049,2013,Lagos,,foreign,8265000,0,Automatic,Mercedes-Benz,C 350
12050,2012,Lagos,,foreign,0,61221,Automatic,Mercedes-Benz,GLK 350
12051,2013,Lagos,,foreign,11015000,0,Automatic,Mercedes-Benz,GL 450
12052,2011,Lagos,,foreign,5295000,0,Automatic,Toyota,Sienna
12053,2014,Lagos,,foreign,0,0,Automatic,Lexus,RX 350
12054,2015,Lagos,,foreign,9365000,12576,Automatic,Toyota,Camry
12055,2016,Lagos,,foreign,0,23000,Automatic,Mercedes-Benz,C 300
12056,2015,Lagos,,foreign,11785000,96979,Automatic,Mercedes-Benz,C 300
12057,2007,Lagos,,,0,100000,Automatic,Saab,9-3
12058,2012,Lagos,,foreign,4855000,64341,Automatic,Toyota,Camry
12059,2016,Lagos,,foreign,20585000,0,Automatic,Toyota,Land Cruiser
12060,2014,Lagos,,foreign,10465000,80000,Automatic,Lexus,IS 250
12061,2004,Lagos,,foreign,0,21421,Automatic,Toyota,Corolla
12062,2017,Lagos,,foreign,275015008,0,Automatic,Ford,F 150
12063,2011,Lagos,,foreign,3407500,1,Automatic,Honda,Accord
12064,2014,Lagos,,foreign,6065000,0,Automatic,Toyota,Sienna
12065,2010,Lagos,,foreign,3755000,65272,Automatic,Toyota,Camry
12066,2010,Lagos,,foreign,7363000,63894,Automatic,Toyota,Highlander
12067,2012,Lagos,,foreign,6780000,0,Automatic,Toyota,Highlander
12068,2014,Cross-river,,foreign,3292500,76177,Automatic,Toyota,Corolla
12069,2008,Lagos,,foreign,4415000,71584,Automatic,Toyota,4-Runner
12070,2007,Lagos,,foreign,2027500,80,Automatic,Toyota,Camry
12071,2008,Lagos,,foreign,4305000,0,Automatic,Toyota,4-Runner
12072,2013,Lagos,,foreign,28615000,0,Automatic,Toyota,Land Cruiser
12073,2013,Lagos,,foreign,11565000,0,Automatic,Infiniti,JX
12074,2014,Lagos,,foreign,5515000,0,Automatic,Toyota,Corolla
12075,2008,Lagos,,foreign,3465000,0,Automatic,Honda,Accord
12076,2011,Lagos,,foreign,5955000,0,Automatic,Toyota,Venza
12077,2010,Lagos,,foreign,9915000,0,Automatic,Toyota,Hilux
12078,2011,Lagos,,foreign,7165000,4580,Automatic,Dodge,Challenger
12079,2006,Lagos,,foreign,3120000,1,Automatic,Toyota,Camry
12080,2008,Lagos,,foreign,7165000,0,Automatic,Toyota,Tacoma
12081,2012,Ibadan,,foreign,5295000,0,Automatic,Lexus,ES 350
12082,2010,Lagos,,foreign,0,0,Automatic,Toyota,Sequoia
12083,2011,Lagos,,foreign,0,0,Automatic,Mercedes-Benz,ML 350
12084,2010,Lagos,,foreign,0,35000,Automatic,Toyota,Corolla
12085,1996,Lagos,,foreign,3292500,0,Automatic,Toyota,Hiace
12086,2015,Lagos,,foreign,0,61073,Automatic,Toyota,Corolla
12087,2013,Lagos,,foreign,7913000,110648,Automatic,Toyota,Highlander
12088,2013,Lagos,,foreign,0,26371,Automatic,Toyota,Camry
12089,2017,Lagos,,foreign,50065000,10,Automatic,Lexus,LX 570
12090,2012,Lagos,,foreign,5955000,95000,Automatic,Toyota,Venza
12091,2007,Enugu,,foreign,2545000,108583,Automatic,Toyota,Camry
12092,2011,Lagos,,foreign,5515000,0,Automatic,Toyota,RAV 4
12093,2004,Lagos,,foreign,3005000,84523,Automatic,Toyota,Sequoia
12094,2011,Lagos,,foreign,8595000,0,Automatic,Lexus,RX 200
12095,2017,Lagos,,foreign,8595000,0,Automatic,Toyota,Camry
12096,2014,Lagos,,foreign,0,68000,Automatic,Infiniti,QX50
12097,2014,Lagos,,foreign,15415000,71654,Automatic,Mercedes-Benz,GL 450
12098,2004,Lagos,,foreign,0,85,Automatic,Toyota,Previa
12099,2008,Lagos,,foreign,0,58639,Automatic,Honda,Accord
12100,2008,Lagos,,foreign,0,58000,Automatic,Nissan,Frontier
12101,2017,Lagos,,foreign,0,18022,Automatic,Toyota,RAV 4
12102,2008,Lagos,,foreign,3120000,72142,Automatic,Toyota,Camry
12103,2012,Lagos,,foreign,4294000,76830,Automatic,Toyota,Camry
12104,2015,Lagos,,foreign,15415000,526373,Automatic,Mercedes-Benz,C 300
12105,2009,Lagos,,foreign,3327000,78587,Automatic,Toyota,Corolla
12106,2005,Lagos,,foreign,2315000,0,Automatic,Acura,MDX
12107,2012,Lagos,,foreign,2660000,0,Automatic,Toyota,Corolla
12108,2008,Lagos,,foreign,3975000,0,Automatic,Lexus,ES 350
12109,2014,Lagos,,foreign,0,29433,Automatic,Mercedes-Benz,GLK 350
12110,2007,Lagos,,foreign,0,0,Automatic,Lexus,GX 470
12111,2015,Lagos,,foreign,0,36828,Automatic,Toyota,Corolla
12112,2008,Lagos,,foreign,0,0,Automatic,Toyota,4-Runner
12113,2009,Lagos,,foreign,4855000,0,Automatic,Mercedes-Benz,C 300
12114,2008,Lagos,,foreign,4085000,51244,Automatic,Lexus,ES 350
12115,2005,Lagos,,foreign,3425000,46633,Automatic,Toyota,Highlander
12116,2017,Lagos,,foreign,14095000,38000,Automatic,Mercedes-Benz,E 300
12117,2005,Lagos,,foreign,2890000,48715,Automatic,Toyota,Sienna
12118,2004,Lagos,,foreign,2257500,80000,Automatic,Lexus,ES 300
12119,2011,Lagos,,foreign,2545000,86482,Automatic,Toyota,Camry
12120,2003,Lagos,,foreign,1107500,0,Automatic,Nissan,Frontier
12121,2013,Lagos,,foreign,4030000,80957,Automatic,Toyota,Camry
12122,2009,Lagos,,foreign,5735000,52000,Automatic,Toyota,Highlander
12123,2008,Lagos,,foreign,3177500,0,Automatic,Toyota,Camry
12124,2008,Lagos,,foreign,0,0,Automatic,Mercedes-Benz,GL 450
12125,2009,Lagos,,foreign,4525000,62526,Automatic,Lexus,ES 350
