,year,city,gradeScore,sellingCondition,marketplacePrice,mileage,Transmission,make,model
0,2015,Abia,4.699999809265137,foreign,4965000,149232,Automatic,Honda,Accord
1,2005,Accra,4.400000095367432,local,1280000,145078,Automatic,Toyota,Corolla
2,2008,Accra,4.599999904632568,local,1280000,91691,Automatic,Toyota,Corolla
3,2004,Lagos,4.5,local,1567500,234797,Automatic,Toyota,Corolla
4,2013,Lagos ,4.800000190734863,foreign,6065000,145678,Automatic,Hyundai,Azera
5,2009,Abia,4.699999809265137,foreign,2890000,207237,Automatic,Toyota,Sienna
6,2009,Lagos,4.5,foreign,6615000,76201,Automatic,Toyota,Venza
7,2015,other,4.900000095367432,foreign,4195000,124275,Automatic,Nissan,Versa
8,2010,Accra,4.0,local,2085000,0,Automatic,Toyota,Avensis
9,2006,Lagos,4.5,local,8375000,195089,Automatic,Toyota,Camry
10,2006,other,4.800000190734863,foreign,2430000,194905,Automatic,Honda,Pilot
11,2011,Abia,4.800000190734863,foreign,3465000,88687,Automatic,Toyota,Camry
12,2010,Lagos,4.800000190734863,foreign,6065000,85233,Automatic,Toyota,Highlander
13,2012,other,5.0,foreign,5075000,85637,Automatic,Lexus,ES 350
14,2004,Lagos,4.300000190734863,local,1682500,158365,Automatic,Toyota,Corolla
15,2009,Lagos,4.900000095367432,foreign,3350000,76233,Automatic,Toyota,Corolla
16,2003,Abia,4.599999904632568,foreign,2315000,153606,Automatic,Toyota,Avensis
17,2006,Lagos,3.5999999046325684,local,762500,176894,Automatic,Honda,Accord
18,2005,other,4.400000095367432,local,1165000,242537,Automatic,Toyota,Camry
19,2011,Lagos,4.699999809265137,foreign,3235000,135744,Automatic,Hyundai,Sonata
20,2012,Lagos,4.900000095367432,foreign,3865000,148936,Automatic,Toyota,Camry
21,2010,Lagos,4.900000095367432,local,2315000,152878,Automatic,Toyota,Corolla
22,2009,other,5.0,foreign,2832500,133212,Automatic,Nissan,Altima
23,2005,Lagos,4.800000190734863,foreign,3425000,76285,Automatic,Toyota,4-Runner
24,2008,Lagos,4.199999809265137,local,1050000,130185,Automatic,Toyota,Avanza
25,2010,Lagos,4.800000190734863,foreign,3865000,95548,Automatic,Toyota,Venza
26,2004,Lagos,4.900000095367432,foreign,2660000,179982,Automatic,Toyota,RAV 4
27,2006,Mushin,4.199999809265137,foreign,2890000,229802,Automatic,Toyota,Avalon
28,2014,Lagos ,4.900000095367432,foreign,7495000,135332,Automatic,Toyota,RAV 4
29,2017,Lagos,5.0,foreign,8815000,18415,Automatic,Toyota,Corolla
30,2003,Lagos,4.699999809265137,foreign,1970000,0,Automatic,Toyota,Camry
31,2013,Lagos,4.900000095367432,foreign,8375000,61610,Automatic,Toyota,RAV 4
32,2017,Lagos,4.900000095367432,foreign,30265000,76794,Automatic,Lexus,LX 570
33,2014,Lagos,5.0,foreign,3865000,48254,Automatic,Kia,Cerato
34,2009,Lagos,4.900000095367432,foreign,1855000,31742,Automatic,Toyota,Vitz
35,2015,Lagos,5.0,local,4745000,40254,Automatic,Nissan,X-Trail
36,2005,Lagos,4.900000095367432,foreign,2545000,299999,Automatic,Toyota,Corolla
37,2004,Lagos,3.299999952316284,local,705000,171039,Automatic,Nissan,Murano
38,2004,Lagos,4.800000190734863,local,820000,156834,Automatic,Honda,Accord
39,2007,Lagos,4.800000190734863,foreign,1855000,151973,Automatic,Nissan,Maxima
40,2013,Lagos,4.900000095367432,foreign,5185000,65398,Automatic,Toyota,Sienna
41,2010,Lagos,5.0,foreign,3645000,170647,Automatic,Ford,Edge
42,2003,Lagos,4.699999809265137,foreign,2085000,198487,Automatic,Toyota,Camry
43,2011,Lagos ,4.800000190734863,local,3535000,42282,Automatic,Toyota,Sienna
44,2008,Lagos ,4.599999904632568,local,7715000,59125,Automatic,BMW,X6
45,2020,Lagos,5.0,new,74815000,50,Automatic,Lexus,LX 570
46,2013,Lagos,4.900000095367432,foreign,4415000,71550,Automatic,Toyota,Corolla
47,2002,Lagos,4.900000095367432,local,1452500,268314,Automatic,Toyota,Camry
48,2003,Lagos,3.700000047683716,local,705000,139886,Automatic,Honda,Accord
49,2007,Lagos,5.0,foreign,3005000,155510,Automatic,Toyota,Avalon
50,2009,Lagos,5.0,foreign,3235000,99088,Automatic,Toyota,Corolla
51,2014,Lagos,4.800000190734863,foreign,4195000,74503,Automatic,Toyota,Corolla
52,2019,Lagos,5.0,foreign,23115000,14464,Automatic,Lexus,RX 350
53,2018,Lagos,5.0,foreign,49515000,14855,Automatic,Land,Rover Range Rover Velar
54,2020,Lagos,5.0,new,83615000,189,Automatic,Lexus,LX 570
55,2009,Lagos,4.900000095367432,foreign,2660000,195828,Automatic,Toyota,Camry
56,1999,Lagos,4.800000190734863,local,1165000,155558,Automatic,Lexus,RX 300
57,2014,Lagos,4.900000095367432,foreign,5185000,110388,Automatic,Toyota,Corolla
58,2008,Lagos,4.900000095367432,foreign,2660000,143175,Automatic,Toyota,Camry
59,2011,Lagos,4.800000190734863,foreign,8815000,107757,Automatic,Lexus,RX 350
60,2010,Lagos,4.199999809265137,local,1395000,82998,Automatic,Toyota,Camry
61,2016,Lagos,5.0,foreign,19265000,19444,Automatic,Lexus,RX 350
62,2004,Lagos,4.099999904632568,local,705000,140155,Automatic,Honda,Accord
63,2010,Lagos,4.800000190734863,foreign,3177500,70456,Automatic,Toyota,Corolla
64,2005,Ogun ,4.900000095367432,local,1280000,158107,Automatic,Toyota,Corolla
65,2003,Ogun ,4.699999809265137,local,1165000,189229,Automatic,Lexus,RX 300
66,2000,Ogun,4.900000095367432,local,532500,226551,Automatic,Honda,CR-V
67,2007,Ogun ,4.800000190734863,local,935000,161816,Automatic,Toyota,Corolla
68,2014,Lagos,5.0,foreign,7495000,65395,Automatic,Toyota,RAV 4
69,2007,Lagos ,4.800000190734863,foreign,2545000,228321,Automatic,Toyota,Corolla
70,2010,Lagos,4.900000095367432,local,1740000,166501,Automatic,Toyota,Camry
71,2011,Lagos,4.900000095367432,foreign,2545000,65015,Automatic,Toyota,Corolla
72,2007,Lagos,4.800000190734863,local,2660000,200095,Automatic,Lexus,ES 350
73,2008,Lagos,4.900000095367432,foreign,2660000,111466,Automatic,Toyota,Sienna
74,2014,Lagos,5.0,foreign,7935000,80508,Automatic,Toyota,RAV 4
75,2007,Lagos,4.699999809265137,foreign,3120000,125095,Automatic,Toyota,Camry
76,2010,Lagos,4.5,foreign,2200000,238884,Automatic,Nissan,Sentra
77,2005,Lagos ,4.900000095367432,foreign,2545000,235765,Automatic,Toyota,Corolla
78,2006,Lagos,4.699999809265137,local,6065000,40238,Automatic,Toyota,Land Cruiser
79,2006,Lagos,4.900000095367432,foreign,2660000,147186,Automatic,Toyota,Corolla
80,1999,Lagos,4.199999809265137,local,1912500,366719,Automatic,Lexus,RX 330
81,2005,Lagos,4.400000095367432,local,820000,188844,Automatic,Toyota,Matrix
82,2007,Lagos,4.400000095367432,local,1625000,0,Automatic,Toyota,Camry
83,2014,Lagos,4.699999809265137,foreign,12115000,117011,Automatic,Mercedes-Benz,ML 350
84,2015,Lagos,5.0,local,5845000,34349,Automatic,Toyota,RAV 4
85,2005,Lagos,4.300000190734863,local,1395000,223866,Automatic,Toyota,Camry
86,2011,Lagos,4.599999904632568,local,4415000,181988,Automatic,Toyota,Highlander
87,2002,Lagos,4.900000095367432,local,1625000,273065,Automatic,Lexus,ES 300
88,2008,Lagos ,4.0,local,820000,116910,Automatic,Honda,Civic
89,2016,Lagos,4.900000095367432,foreign,9915000,42648,Automatic,Toyota,RAV 4
90,2009,Lagos ,4.900000095367432,foreign,3645000,142601,Automatic,Toyota,RAV 4
91,2003,Lagos,4.599999904632568,local,1395000,109178,Automatic,Toyota,Corolla
92,2013,Lagos,5.0,foreign,11895000,102823,Automatic,Mercedes-Benz,ML 350
93,2008,Lagos,4.900000095367432,foreign,3120000,88126,Automatic,Hyundai,Elantra
94,2007,Lagos,4.300000190734863,local,1337500,94809,Automatic,Toyota,Corolla
95,2007,Lagos ,4.400000095367432,local,1452500,443777,Automatic,Toyota,Camry
96,2004,Lagos ,4.699999809265137,local,1855000,153889,Automatic,Toyota,Corolla
97,2010,Lagos,4.800000190734863,foreign,5515000,72683,Automatic,Honda,Crosstour
98,2007,Lagos,4.800000190734863,new,3005000,198982,Automatic,Toyota,Sienna
99,2003,Lagos,4.5,foreign,2315000,128628,Automatic,Toyota,Corolla
100,2007,Lagos,4.599999904632568,foreign,3005000,209292,Automatic,Toyota,Sienna
101,2007,LAGOS,4.599999904632568,foreign,2085000,86516,Automatic,Honda,Accord
102,2016,Lagos,4.800000190734863,foreign,6065000,104132,Automatic,Toyota,Corolla
103,2009,Lagos,4.800000190734863,foreign,3755000,201779,Automatic,Hyundai,Santa Fe
104,2011,Lagos,4.599999904632568,foreign,3350000,137037,Automatic,Toyota,Camry
105,2012,Lagos ,4.900000095367432,foreign,5515000,52952,Automatic,GMC,Terrain
106,2006,Lagos,3.799999952316284,local,877500,168395,Automatic,Toyota,Corolla
107,2003,LAGOS,4.699999809265137,local,1280000,223508,Automatic,Toyota,Camry
108,2017,Lagos,4.800000190734863,foreign,8045000,164164,Automatic,Toyota,Corolla
109,2008,Lagos ,4.900000095367432,foreign,4965000,202171,Automatic,Toyota,Highlander
110,2011,Lagos,5.0,foreign,3292500,111194,Automatic,Toyota,Camry
111,2009,Abia,4.699999809265137,foreign,3350000,82288,Automatic,Toyota,Camry
112,2016,Lagos,4.800000190734863,foreign,3865000,92832,Automatic,Hyundai,Sonata
113,2009,Lagos,4.900000095367432,foreign,3120000,121528,Automatic,Toyota,Corolla
114,2007,Lagos,4.800000190734863,foreign,2775000,116617,Automatic,Toyota,Camry
115,2013,Lagos,4.800000190734863,foreign,12665000,100943,Automatic,Mercedes-Benz,ML 350
116,2007,Lagos,4.900000095367432,foreign,3975000,86419,Automatic,Lexus,ES 350
117,2010,Lagos,4.800000190734863,foreign,3120000,85244,Automatic,Toyota,Sienna
118,2012,Lagos,4.800000190734863,foreign,4195000,60499,Automatic,Toyota,Corolla
119,2007,Lagos,4.599999904632568,local,2430000,1398244,Automatic,Honda,CR-V
120,2012,Lagos,4.900000095367432,foreign,3645000,169525,Automatic,Toyota,Camry
121,2005,Lagos,4.400000095367432,local,1395000,245628,Automatic,Toyota,Corolla
122,2004,Lagos,4.800000190734863,local,590000,212500,Automatic,Toyota,Corolla
123,2013,Lagos,4.900000095367432,foreign,3465000,180311,Automatic,Toyota,Corolla
124,2006,Lagos,4.900000095367432,foreign,3120000,8995,Automatic,Toyota,Highlander
125,2013,Lagos,5.0,foreign,9365000,67640,Automatic,Mercedes-Benz,GLK 350
126,2011,Lagos,4.800000190734863,foreign,7715000,109950,Automatic,Toyota,Highlander
127,2014,Lagos,4.900000095367432,foreign,8375000,92649,Automatic,Toyota,Avalon
128,2016,Lagos,4.699999809265137,foreign,55015000,18297,Automatic,Mercedes-Benz,G 63 AMG
129,2007,Lagos,4.900000095367432,foreign,2775000,146287,Automatic,Toyota,Camry
130,2015,Lagos,4.900000095367432,local,5735000,44586,Automatic,Hyundai,ix35
131,2005,Lagos,5.0,foreign,4140000,93857,Automatic,Lexus,RX 330
132,2018,Lagos,5.0,foreign,20365000,13655,Automatic,Mercedes-Benz,C 250
133,2006,Lagos,4.900000095367432,foreign,3920000,174267,Automatic,Mercedes-Benz,ML 350
134,2009,Lagos,5.0,foreign,6065000,61727,Automatic,Lexus,RX 350
135,2017,Lagos,5.0,new,31915000,41317,Automatic,Lexus,GX 460
136,2014,Lagos,5.0,foreign,20365000,71937,Automatic,Lexus,GX 460
137,2013,Lagos,4.800000190734863,foreign,8265000,68193,Automatic,Toyota,Venza
138,2010,Lagos,5.0,foreign,3535000,94133,Automatic,Toyota,Camry
139,2007,Lagos,5.0,foreign,4635000,85363,Automatic,Lexus,RX 350
140,2009,Lagos,4.800000190734863,foreign,2085000,105478,Automatic,Ford,Escape
141,2008,Lagos,4.900000095367432,foreign,5405000,182938,Automatic,Toyota,Highlander
142,2010,Lagos,4.400000095367432,foreign,4965000,67264,Automatic,Honda,Crosstour
143,2013,Lagos,4.800000190734863,foreign,22015000,73308,Automatic,Lexus,LX 570
144,2014,Lagos,4.800000190734863,foreign,7935000,134121,Automatic,Toyota,Avalon
145,2007,Lagos,4.699999809265137,foreign,3975000,88443,Automatic,Lexus,ES 350
146,2004,Lagos,4.900000095367432,foreign,2315000,75248,Automatic,Toyota,RAV 4
147,2007,Lagos,4.0,local,2545000,139574,Automatic,Lexus,ES 350
148,2011,Ogun ,4.900000095367432,local,647500,66812,Automatic,Kia,Picanto
149,2005,Lagos,4.900000095367432,foreign,2775000,136445,Automatic,Toyota,Sienna
150,2013,Lagos,5.0,foreign,7495000,138050,Automatic,Lexus,ES 350
151,2013,Lagos,4.900000095367432,foreign,3535000,79043,Automatic,Toyota,Corolla
152,2010,Lagos,5.0,foreign,7055000,88962,Automatic,Acura,ZDX
153,2007,Lagos,4.900000095367432,foreign,2200000,85469,Automatic,Volkswagen,Golf
154,2009,Lagos,4.900000095367432,foreign,5075000,0,Automatic,Toyota,Highlander
155,2017,Lagos,4.900000095367432,foreign,18165000,49883,Automatic,Toyota,Highlander
156,2014,Lagos,4.900000095367432,foreign,4305000,69666,Automatic,Honda,Accord
157,2016,Lagos,4.900000095367432,foreign,10245000,101990,Automatic,Toyota,RAV 4
158,2018,Lagos,4.900000095367432,foreign,12775000,17346,Automatic,Toyota,Camry
159,2017,Lagos,4.900000095367432,foreign,18165000,50304,Automatic,Toyota,Highlander
160,2007,Lagos ,4.699999809265137,foreign,1912500,180293,Automatic,Ford,Escape
161,2010,Lagos,5.0,foreign,7165000,133295,Automatic,Mercedes-Benz,GLK 350
162,2015,Lagos,5.0,foreign,7605000,131168,Automatic,Toyota,Camry
163,2010,Lagos,5.0,foreign,3480000,130000,Automatic,Toyota,Camry
164,2013,Lagos,5.0,foreign,9255000,52442,Automatic,Toyota,Venza
165,2019,Lagos,5.0,foreign,25315000,2878,Automatic,Toyota,Camry
166,2020,Lagos,5.0,new,51715000,69,Automatic,Lexus,ES 350
167,2018,Lagos,4.900000095367432,foreign,11345000,38264,Automatic,Toyota,RAV 4
168,2019,Lagos,4.900000095367432,foreign,17945000,6381,Automatic,Toyota,RAV 4
169,2017,Lagos,5.0,foreign,13765000,44669,Automatic,Toyota,Sienna
170,2011,Lagos,4.800000190734863,foreign,4085000,81505,Automatic,Toyota,RAV 4
171,2010,Lagos,4.699999809265137,foreign,3120000,95850,Automatic,Toyota,Sienna
172,2003,Lagos,4.599999904632568,foreign,4965000,81463,Automatic,Lexus,GX 470
173,2005,Lagos,4.800000190734863,foreign,3535000,80578,Automatic,Toyota,Highlander
174,2016,Lagos,5.0,foreign,17065000,38221,Automatic,Lexus,RX 350
175,2004,Lagos,3.9000000953674316,local,1452500,373703,Automatic,Toyota,Sienna
176,2013,Lagos,5.0,foreign,9585000,108410,Automatic,Toyota,4-Runner
177,2014,Lagos,4.900000095367432,foreign,6065000,143705,Automatic,Acura,RDX
178,2008,Lagos,5.0,foreign,4195000,90928,Automatic,Lexus,GS 350
179,2019,Lagos,5.0,foreign,47315000,9986,Automatic,Mercedes-Benz,GLE 450
180,2014,Lagos,5.0,foreign,25315000,52485,Automatic,Land,Rover Range Rover Sport
181,2004,Ogun,4.900000095367432,foreign,2315000,136890,Automatic,Toyota,RAV 4
182,2011,Lagos,4.699999809265137,foreign,5955000,117497,Automatic,Toyota,Highlander
183,2008,Lagos,4.900000095367432,foreign,2085000,83641,Automatic,Toyota,Yaris
184,2004,Lagos,4.800000190734863,foreign,3865000,98424,Automatic,Toyota,4-Runner
185,2005,Lagos,4.800000190734863,foreign,2200000,178388,Automatic,Toyota,Camry
186,2016,Lagos,4.699999809265137,local,8815000,134971,Automatic,Honda,Pilot
187,2004,Lagos,4.900000095367432,foreign,2085000,102486,Automatic,Toyota,Camry
188,2009,Lagos,4.5,local,4415000,72791,Automatic,Toyota,Venza
189,2016,Lagos ,4.900000095367432,foreign,15415000,62710,Automatic,Toyota,Highlander
190,2007,Lagos ,4.800000190734863,foreign,3645000,220748,Automatic,Toyota,RAV 4
191,2004,Lagos,4.900000095367432,foreign,4415000,85441,Automatic,Lexus,RX 330
192,2007,Lagos,5.0,foreign,4360000,309306,Automatic,Lexus,RX 350
193,2012,Lagos,4.800000190734863,foreign,3535000,138290,Automatic,Toyota,Corolla
194,1998,Lagos,4.099999904632568,local,590000,245417,Automatic,Toyota,Camry
195,2010,Lagos,4.900000095367432,foreign,3865000,186153,Automatic,Ford,Edge
196,2012,Lagos ,4.900000095367432,foreign,5955000,69987,Automatic,Mercedes-Benz,C 300
197,2007,Lagos,5.0,foreign,3005000,105357,Automatic,Honda,Pilot
198,2004,Lagos,4.900000095367432,local,1625000,77038,Automatic,Toyota,4-Runner
199,2010,Lagos,4.900000095367432,foreign,3645000,69696,Automatic,BMW,335
200,2009,Lagos,4.900000095367432,foreign,2775000,85448,Automatic,Toyota,Camry
201,2018,Lagos,5.0,foreign,12115000,102901,Automatic,Toyota,Camry
202,2007,Lagos,4.900000095367432,foreign,2085000,99268,Automatic,Toyota,Yaris
203,2013,Lagos,5.0,foreign,3535000,105697,Automatic,Toyota,Corolla
204,2009,Ogun,4.900000095367432,foreign,2085000,149618,Automatic,Nissan,Altima
205,2007,Lagos ,5.0,foreign,3645000,84746,Automatic,Toyota,RAV 4
206,2015,Lagos,5.0,foreign,5735000,73677,Automatic,Toyota,Corolla
207,2006,Lagos,4.699999809265137,foreign,2545000,199738,Automatic,Toyota,Corolla
208,2013,Lagos ,5.0,foreign,3755000,42526,Automatic,Toyota,RAV 4
209,2011,Lagos,5.0,new,3465000,158334,Automatic,Toyota,Camry
210,2016,Lagos ,4.900000095367432,foreign,7165000,35473,Automatic,Toyota,Corolla
211,2005,Lagos ,4.900000095367432,foreign,2660000,261406,Automatic,Infiniti,FX
212,2012,Lagos ,4.900000095367432,foreign,6065000,54418,Automatic,GMC,Terrain
213,2010,Lagos,4.900000095367432,foreign,4635000,52373,Automatic,Chrysler,300C
214,2011,Lagos,5.0,foreign,5405000,40566,Automatic,Lexus,LS 460
215,2004,Lagos,5.0,foreign,3755000,104261,Automatic,Toyota,RAV 4
216,2010,Lagos ,5.0,foreign,3865000,77316,Automatic,Toyota,Camry
217,2008,Lagos,4.400000095367432,local,1165000,280450,Automatic,Mitsubishi,Pajero
218,2002,Lagos,4.900000095367432,foreign,1395000,250500,Automatic,Nissan,Primera
219,2010,Lagos ,4.599999904632568,local,3465000,709043,Automatic,Infiniti,FX
220,2018,Lagos,5.0,foreign,55015000,20940,Automatic,Lexus,LX 570
221,2006,Lagos,4.800000190734863,foreign,3755000,233102,Automatic,Lexus,GS 300
222,2006,Lagos,4.800000190734863,foreign,2200000,94972,Automatic,Mercedes-Benz,E 350
223,2003,Lagos,4.699999809265137,foreign,1912500,199513,Automatic,Toyota,Matrix
224,2016,Lagos,4.5,local,1740000,84607,Automatic,GAC,Gonow Other
225,2016,Lagos,4.900000095367432,foreign,6615000,23219,Automatic,Toyota,Corolla
226,2003,Lagos,3.9000000953674316,local,820000,111969,Automatic,Honda,Pilot
227,2017,Lagos,4.900000095367432,foreign,9365000,19584,Automatic,Toyota,Corolla
228,2017,Lagos,5.0,foreign,9365000,40247,Automatic,Toyota,Corolla
229,2013,Lagos,4.800000190734863,foreign,5515000,85372,Automatic,Toyota,Camry
230,2017,Lagos,4.900000095367432,foreign,9365000,40574,Automatic,Toyota,Corolla
231,2013,Lagos,4.5,local,1740000,112578,Automatic,Hyundai,ix35
232,2012,Lagos,5.0,foreign,5405000,73587,Automatic,Toyota,Camry
233,2005,Lagos,4.900000095367432,local,1740000,191274,Automatic,Toyota,Camry
234,2008,Lagos,4.900000095367432,foreign,5625000,80188,Automatic,Toyota,Highlander
235,2007,Lagos,4.400000095367432,local,1475500,105285,Automatic,Toyota,Camry
236,2006,Lagos,5.0,foreign,2947500,160421,Automatic,Lexus,GS 300
237,2005,Lagos,4.800000190734863,local,1050000,211084,Automatic,Honda,Pilot
238,2007,Lagos,5.0,foreign,2602500,125708,Automatic,Toyota,Corolla
239,2011,Lagos,5.0,foreign,3755000,122477,Automatic,Toyota,RAV 4
240,2009,Lagos,4.900000095367432,foreign,5515000,186704,Automatic,Toyota,Venza
241,2001,Lagos,4.400000095367432,local,1050000,121336,Automatic,Toyota,Sienna
242,2009,Lagos,4.800000190734863,foreign,5735000,151680,Automatic,Toyota,Highlander
243,2013,Lagos,4.800000190734863,foreign,6505000,88661,Automatic,Toyota,Avalon
244,2005,Lagos,4.599999904632568,foreign,5405000,139860,Automatic,Toyota,Tacoma
245,2005,Lagos,4.800000190734863,local,1452500,213009,Automatic,Honda,Accord
246,2001,Lagos,4.699999809265137,foreign,1855000,113260,Automatic,Lexus,ES 300
247,2010,Lagos,4.900000095367432,foreign,6615000,151729,Automatic,Toyota,Hiace
248,2010,Lagos,4.900000095367432,foreign,3975000,132042,Automatic,Acura,TSX
249,1998,Lagos,5.0,foreign,4195000,111271,Automatic,Jaguar,XJ8
250,2006,Lagos,4.699999809265137,foreign,2890000,186807,Automatic,Jeep,Cherokee
251,1997,Lagos,4.0,local,2257500,205290,Automatic,Toyota,Tacoma
252,2005,Lagos,4.699999809265137,local,1510000,149158,Automatic,Mitsubishi,Galant
253,2015,Lagos ,5.0,foreign,12115000,56062,Automatic,Lexus,RX 350
254,2009,Lagos,4.900000095367432,foreign,3235000,140641,Automatic,Toyota,Sienna
255,2018,Lagos,4.800000190734863,foreign,8375000,26080,Automatic,Toyota,Camry
256,2009,Lagos,4.699999809265137,foreign,3005000,62047,Automatic,Toyota,Corolla
257,2008,Lagos,5.0,foreign,3755000,0,Automatic,Toyota,RAV 4
258,2014,Lagos,4.400000095367432,new,3865000,156763,Automatic,BMW,528
259,2017,Lagos,4.900000095367432,foreign,7935000,7051,Automatic,Toyota,Corolla
260,2010,Ogun,4.0,local,3465000,52301,Automatic,Volvo,XC60
261,2008,Lagos,3.799999952316284,local,1280000,182282,Automatic,Toyota,Corolla
262,2011,Lagos,4.800000190734863,local,17065000,97950,Automatic,Lexus,LX 570
263,2014,Lagos,4.900000095367432,local,3465000,64503,Automatic,Honda,CR-V
264,2013,Lagos,5.0,foreign,7825000,131482,Automatic,Toyota,Highlander
265,2016,Lagos,5.0,foreign,17395000,62960,Automatic,Lexus,RX 350
266,2016,Lagos,5.0,foreign,17065000,35986,Automatic,Lexus,RX 350
267,2011,Lagos,4.900000095367432,foreign,3062500,105271,Automatic,Ford,Escape
268,2012,Lagos,5.0,foreign,3975000,96744,Automatic,Toyota,Corolla
269,2018,Lagos,5.0,foreign,35215000,42783,Automatic,Lexus,GX 460
270,2016,Lagos,5.0,foreign,15195000,73262,Automatic,Mercedes-Benz,C 180
271,2007,Lagos,,foreign,3120000,50,Automatic,Toyota,Camry
272,2009,Lagos,,foreign,4745000,78358,Automatic,Lexus,RX 350
273,2012,Lagos,4.699999809265137,foreign,11565000,133226,Automatic,Mercedes-Benz,ML 350
274,2011,Lagos,5.0,foreign,4525000,85759,Automatic,Toyota,Camry
275,2008,Lagos,4.900000095367432,foreign,3465000,78429,Automatic,Acura,MDX
276,2007,Lagos,4.800000190734863,foreign,3465000,99340,Automatic,Infiniti,M35
277,2013,Lagos ,4.800000190734863,foreign,3975000,91495,Automatic,Toyota,Corolla
278,2011,Lagos,4.900000095367432,foreign,3425000,72093,Automatic,Hyundai,Sonata
279,2019,Lagos,5.0,new,35215000,10,Automatic,Toyota,Land Cruiser
280,2018,Lagos,5.0,foreign,53365000,14498,Automatic,Lexus,LX 570
281,2004,Lagos,4.900000095367432,foreign,3865000,275338,Automatic,Lexus,RX 330
282,2007,Lagos,4.900000095367432,foreign,4855000,61807,Automatic,Lexus,ES 350
283,2016,Lagos,5.0,foreign,29935000,42750,Automatic,Toyota,Land Cruiser
284,2016,Lagos,5.0,foreign,23115000,132000,Automatic,Lexus,GX 460
285,2007,Lagos,4.900000095367432,foreign,4855000,133295,Automatic,Lexus,ES 350
286,2013,Lagos,4.900000095367432,foreign,3350000,144000,Automatic,Toyota,Corolla
287,2007,Lagos,4.900000095367432,foreign,3005000,151948,Automatic,Toyota,Camry
288,2011,Lagos,4.5,foreign,5405000,119404,Automatic,Ford,Explorer
289,2020,Lagos,4.800000190734863,foreign,16515000,2700,Automatic,Toyota,Corolla
290,2015,Lagos,4.800000190734863,foreign,8265000,47702,Automatic,Toyota,Venza
291,2014,Lagos,5.0,foreign,7715000,89361,Automatic,Toyota,Sienna
292,2013,Lagos ,4.900000095367432,foreign,10465000,131898,Automatic,Land,Rover Range Rover Sport
293,2010,Lagos,4.900000095367432,foreign,10465000,57655,Automatic,Audi,Q7
294,2011,Lagos,4.800000190734863,foreign,7165000,115336,Automatic,Toyota,Sienna
295,2015,Lagos,4.900000095367432,foreign,9365000,153006,Automatic,Toyota,Avalon
296,2016,Lagos,5.0,foreign,23115000,44293,Automatic,Mercedes-Benz,GLE 400
297,2013,Lagos ,5.0,foreign,12115000,58446,Automatic,Land,Rover Range Rover Evoque
298,2013,Lagos,4.900000095367432,foreign,3108500,97573,Automatic,Hyundai,Accent
299,2016,Lagos,5.0,foreign,49515000,19075,Automatic,Mercedes-Benz,GLE 63 AMG
300,2013,Lagos,5.0,foreign,11565000,149559,Automatic,Mercedes-Benz,220
301,2008,Lagos,4.800000190734863,foreign,4415000,132746,Automatic,Mercedes-Benz,300
302,2014,Lagos,4.900000095367432,local,17615000,17433,Automatic,Land,Rover Range Rover Sport
303,2014,Lagos,5.0,foreign,11565000,46368,Automatic,Mercedes-Benz,220
304,2008,Lagos,4.900000095367432,foreign,3005000,45279,Automatic,Honda,Accord
305,2004,Lagos,5.0,foreign,4415000,76271,Automatic,Lexus,RX 330
306,2008,Lagos,4.800000190734863,foreign,3755000,92189,Automatic,Acura,MDX
307,2008,Lagos,4.699999809265137,foreign,3755000,65252,Automatic,Acura,MDX
308,2010,Lagos,4.699999809265137,foreign,935000,101232,Automatic,Hyundai,Elantra
309,2020,Lagos,5.0,new,66015000,693,Automatic,Mercedes-Benz,GLE 350
310,2016,Lagos,4.800000190734863,foreign,14315000,63747,Automatic,Toyota,Highlander
311,2005,Lagos,4.900000095367432,foreign,2545000,143258,Automatic,Toyota,Corolla
312,2017,Lagos,4.900000095367432,foreign,10465000,49529,Automatic,Toyota,Camry
313,2010,Lagos,4.900000095367432,foreign,6285000,119000,Automatic,Mercedes-Benz,GLK 350
314,2018,Lagos,5.0,foreign,19265000,18530,Automatic,Toyota,Camry
315,2016,Lagos,5.0,foreign,50615000,25969,Automatic,Mercedes-Benz,S 550
316,2007,Lagos,5.0,foreign,4195000,91524,Automatic,Lexus,ES 350
317,2020,Lagos,5.0,new,44015000,6519,Automatic,Toyota,Highlander
318,2013,Lagos,4.900000095367432,foreign,8265000,46953,Automatic,Toyota,RAV 4
319,2004,Lagos,4.800000190734863,foreign,2315000,147262,Automatic,Toyota,Corolla
320,2003,Lagos,4.900000095367432,foreign,2200000,98333,Automatic,Toyota,Corolla
321,2013,Lagos,4.900000095367432,foreign,36315000,59833,Automatic,Land,Rover Range Rover
322,2019,Lagos,5.0,foreign,52815000,36921,Automatic,Land,Rover Range Rover
323,2019,Lagos,4.900000095367432,foreign,17615000,19936,Automatic,Honda,CR-V
324,2014,Lagos,4.900000095367432,foreign,10245000,62125,Automatic,Lexus,ES 350
325,2013,Lagos,4.900000095367432,foreign,9365000,196773,Automatic,Ford,F 150
326,2010,Lagos,4.900000095367432,foreign,10795000,75341,Automatic,Toyota,4-Runner
327,2011,Lagos,5.0,foreign,1395000,76319,Automatic,Hyundai,Elantra
328,2020,Lagos,5.0,foreign,20915000,22824,Automatic,Toyota,Corolla
