,Price,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age
10383,,Lagos,foreign,,3.0,2011.0,Mercedes-Benz,GL 450,Automatic,9.0
10384,,Lagos,foreign,,3.0,2004.0,Lexus,GX 470,Automatic,16.0
10385,,Lagos,foreign,,3.0,2007.0,Lexus,ES 300,Automatic,13.0
10386,,Lagos,foreign,,3.0,2017.0,Toyota,Corolla,Automatic,3.0
10387,,Lagos,foreign,,3.0,2007.0,Lexus,GX 470,Automatic,13.0
10388,,Rivers,foreign,,3.0,2006.0,Toyota,Sienna,Automatic,14.0
10389,,Lagos,foreign,,3.0,2004.0,Toyota,Highlander,Automatic,16.0
10390,,Lagos,foreign,,3.0,2011.0,Mercedes-Benz,GLK 350,Automatic,9.0
10391,,Lagos,foreign,,3.0,2011.0,Toyota,Venza,Automatic,9.0
10392,,Lagos,foreign,,3.0,2008.0,Toyota,Sienna,Automatic,12.0
10393,,Lagos,foreign,,3.0,2006.0,Toyota,Corolla,Automatic,14.0
10394,,Lagos,foreign,,3.0,2010.0,Lexus,RX 350,Automatic,10.0
10395,,Lagos,foreign,,3.0,2014.0,Lexus,RX 350,Automatic,6.0
10396,,Lagos,foreign,,3.0,2009.0,Toyota,Corolla,Automatic,11.0
10397,,Lagos,foreign,,3.0,2008.0,Toyota,RAV 4,Automatic,12.0
10398,,Lagos,foreign,,3.0,2012.0,Ford,Edge,Automatic,8.0
10399,,Lagos,foreign,,3.0,2006.0,Toyota,Highlander,Automatic,14.0
10400,,Lagos,foreign,,3.0,2014.0,Toyota,Corolla,Automatic,6.0
10401,,Lagos,foreign,,3.0,2009.0,Toyota,Camry,Automatic,11.0
10402,,Lagos,foreign,,3.0,2008.0,Lexus,ES 300,Automatic,12.0
10403,,Lagos,foreign,,3.0,2016.0,Mercedes-Benz,GLE 350,Automatic,4.0
10404,,Lagos,foreign,,3.0,2007.0,Chrysler,Crossfire,Automatic,13.0
10405,,Lagos,foreign,,3.0,2008.0,Hyundai,Elantra,Automatic,12.0
10406,,Lagos,foreign,,3.0,2008.0,Toyota,RAV 4,Automatic,12.0
10407,,Lagos,foreign,,3.0,2011.0,Toyota,Corolla,Automatic,9.0
10408,,Lagos,foreign,,3.0,2009.0,Toyota,Matrix,Automatic,11.0
10409,,Lagos,foreign,,3.0,2005.0,Toyota,Sienna,Automatic,15.0
10410,,Lagos,foreign,,3.0,2013.0,Toyota,Camry,Automatic,7.0
10411,,Lagos,foreign,,3.0,2008.0,Toyota,Camry,Automatic,12.0
10412,,Lagos,foreign,,3.0,2014.0,Toyota,Tacoma,Automatic,6.0
10413,,Lagos,foreign,,3.0,2005.0,Toyota,RAV 4,Automatic,15.0
10414,,Lagos,foreign,,3.0,2006.0,Land,Rover Range Rover Sport,Automatic,14.0
10415,,Lagos,foreign,,3.0,2005.0,Toyota,Sienna,Automatic,15.0
10416,,Lagos,foreign,,3.0,2006.0,Lexus,IS 250,Automatic,14.0
10417,,Lagos,foreign,,3.0,2008.0,Mercedes-Benz,ML 350,Automatic,12.0
10418,,Lagos,foreign,,3.0,2007.0,Toyota,Tacoma,Automatic,13.0
10419,,Lagos,foreign,,3.0,2010.0,Toyota,Matrix,Automatic,10.0
10420,,Lagos,foreign,,3.0,2018.0,Land,Rover Range Rover Evoque,Automatic,2.0
10421,,Lagos,foreign,,3.0,2005.0,Lexus,RX 350,Automatic,15.0
10422,,Lagos,foreign,,3.0,2004.0,Lexus,ES 330,Automatic,16.0
10423,,Lagos,foreign,,3.0,2007.0,Lexus,ES 350,Automatic,13.0
10424,,Lagos,foreign,,3.0,2013.0,Toyota,Camry,Automatic,7.0
10425,,Lagos,foreign,,3.0,2010.0,Acura,MDX,Automatic,10.0
10426,,Lagos,foreign,,3.0,2008.0,Toyota,Camry,Automatic,12.0
10427,,Lagos,foreign,,3.0,2008.0,Toyota,RAV 4,Automatic,12.0
