,Price,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age
0,,Abia,foreign,,4.7,2015.0,Honda,Accord,Automatic,5.0
1,,Accra,local,,4.4,2005.0,Toyota,Corolla,Automatic,15.0
2,,Accra,local,,4.6,2008.0,Toyota,Corolla,Automatic,12.0
3,,Lagos,local,,4.5,2004.0,Toyota,Corolla,Automatic,16.0
4,,Lagos,foreign,,4.8,2013.0,Hyundai,Azera,Automatic,7.0
5,,Abia,foreign,,4.7,2009.0,Toyota,Sienna,Automatic,11.0
6,,Lagos,foreign,,4.5,2009.0,Toyota,Venza,Automatic,11.0
7,,Lagos,foreign,,4.9,2015.0,Nissan,Versa,Automatic,5.0
8,,Accra,local,,4.0,2010.0,Toyota,Avensis,Automatic,10.0
9,,Lagos,local,,4.5,2006.0,Toyota,Camry,Automatic,14.0
10,,Lagos,foreign,,4.8,2006.0,Honda,Pilot,Automatic,14.0
11,,Abia,foreign,,4.8,2011.0,Toyota,Camry,Automatic,9.0
12,,Lagos,foreign,,4.8,2010.0,Toyota,Highlander,Automatic,10.0
13,,Lagos,foreign,,5.0,2012.0,Lexus,ES 350,Automatic,8.0
14,,Lagos,local,,4.3,2004.0,Toyota,Corolla,Automatic,16.0
15,,Lagos,foreign,,4.9,2009.0,Toyota,Corolla,Automatic,11.0
16,,Abia,foreign,,4.6,2003.0,Toyota,Avensis,Automatic,17.0
17,,Lagos,local,,3.6,2006.0,Honda,Accord,Automatic,14.0
18,,Lagos,local,,4.4,2005.0,Toyota,Camry,Automatic,15.0
19,,Lagos,foreign,,4.7,2011.0,Hyundai,Sonata,Automatic,9.0
20,,Lagos,foreign,,4.9,2012.0,Toyota,Camry,Automatic,8.0
21,,Lagos,local,,4.9,2010.0,Toyota,Corolla,Automatic,10.0
22,,Lagos,foreign,,5.0,2009.0,Nissan,Altima,Automatic,11.0
23,,Lagos,foreign,,4.8,2005.0,Toyota,4-Runner,Automatic,15.0
24,,Lagos,local,,4.2,2008.0,Toyota,Avanza,Automatic,12.0
25,,Lagos,foreign,,4.8,2010.0,Toyota,Venza,Automatic,10.0
26,,Lagos,foreign,,4.9,2004.0,Toyota,RAV 4,Automatic,16.0
27,,Lagos,foreign,,4.2,2006.0,Toyota,Avalon,Automatic,14.0
28,,Lagos,foreign,,4.9,2014.0,Toyota,RAV 4,Automatic,6.0
29,,Lagos,foreign,,5.0,2017.0,Toyota,Corolla,Automatic,3.0
30,,Lagos,foreign,,4.7,2003.0,Toyota,Camry,Automatic,17.0
31,,Lagos,foreign,,4.9,2013.0,Toyota,RAV 4,Automatic,7.0
32,,Lagos,foreign,,4.9,2017.0,Lexus,LX 570,Automatic,3.0
33,,Lagos,foreign,,5.0,2014.0,Kia,Cerato,Automatic,6.0
34,,Lagos,foreign,,4.9,2009.0,Toyota,Vitz,Automatic,11.0
35,,Lagos,local,,5.0,2015.0,Nissan,X-Trail,Automatic,5.0
36,,Lagos,foreign,,4.9,2005.0,Toyota,Corolla,Automatic,15.0
37,,Lagos,local,,3.3,2004.0,Nissan,Murano,Automatic,16.0
38,,Lagos,local,,4.8,2004.0,Honda,Accord,Automatic,16.0
39,,Lagos,foreign,,4.8,2007.0,Nissan,Maxima,Automatic,13.0
40,,Lagos,foreign,,4.9,2013.0,Toyota,Sienna,Automatic,7.0
41,,Lagos,foreign,,5.0,2010.0,Ford,Edge,Automatic,10.0
42,,Lagos,foreign,,4.7,2003.0,Toyota,Camry,Automatic,17.0
43,,Lagos,local,,4.8,2011.0,Toyota,Sienna,Automatic,9.0
44,,Lagos,local,,4.6,2008.0,BMW,X6,Automatic,12.0
46,,Lagos,foreign,,4.9,2013.0,Toyota,Corolla,Automatic,7.0
47,,Lagos,local,,4.9,2002.0,Toyota,Camry,Automatic,18.0
48,,Lagos,local,,3.7,2003.0,Honda,Accord,Automatic,17.0
49,,Lagos,foreign,,5.0,2007.0,Toyota,Avalon,Automatic,13.0
50,,Lagos,foreign,,5.0,2009.0,Toyota,Corolla,Automatic,11.0
51,,Lagos,foreign,,4.8,2014.0,Toyota,Corolla,Automatic,6.0
52,,Lagos,foreign,,5.0,2019.0,Lexus,RX 350,Automatic,1.0
53,,Lagos,foreign,,5.0,2018.0,Land,Rover Range Rover Velar,Automatic,2.0
55,,Lagos,foreign,,4.9,2009.0,Toyota,Camry,Automatic,11.0
56,,Lagos,local,,4.8,1999.0,Lexus,RX 300,Automatic,21.0
57,,Lagos,foreign,,4.9,2014.0,Toyota,Corolla,Automatic,6.0
58,,Lagos,foreign,,4.9,2008.0,Toyota,Camry,Automatic,12.0
59,,Lagos,foreign,,4.8,2011.0,Lexus,RX 350,Automatic,9.0
60,,Lagos,local,,4.2,2010.0,Toyota,Camry,Automatic,10.0
61,,Lagos,foreign,,5.0,2016.0,Lexus,RX 350,Automatic,4.0
62,,Lagos,local,,4.1,2004.0,Honda,Accord,Automatic,16.0
63,,Lagos,foreign,,4.8,2010.0,Toyota,Corolla,Automatic,10.0
64,,Ogun,local,,4.9,2005.0,Toyota,Corolla,Automatic,15.0
65,,Ogun,local,,4.7,2003.0,Lexus,RX 300,Automatic,17.0
66,,Ogun,local,,4.9,2000.0,Honda,CR-V,Automatic,20.0
67,,Ogun,local,,4.8,2007.0,Toyota,Corolla,Automatic,13.0
68,,Lagos,foreign,,5.0,2014.0,Toyota,RAV 4,Automatic,6.0
69,,Lagos,foreign,,4.8,2007.0,Toyota,Corolla,Automatic,13.0
70,,Lagos,local,,4.9,2010.0,Toyota,Camry,Automatic,10.0
71,,Lagos,foreign,,4.9,2011.0,Toyota,Corolla,Automatic,9.0
72,,Lagos,local,,4.8,2007.0,Lexus,ES 350,Automatic,13.0
73,,Lagos,foreign,,4.9,2008.0,Toyota,Sienna,Automatic,12.0
74,,Lagos,foreign,,5.0,2014.0,Toyota,RAV 4,Automatic,6.0
75,,Lagos,foreign,,4.7,2007.0,Toyota,Camry,Automatic,13.0
76,,Lagos,foreign,,4.5,2010.0,Nissan,Sentra,Automatic,10.0
77,,Lagos,foreign,,4.9,2005.0,Toyota,Corolla,Automatic,15.0
78,,Lagos,local,,4.7,2006.0,Toyota,Land Cruiser,Automatic,14.0
79,,Lagos,foreign,,4.9,2006.0,Toyota,Corolla,Automatic,14.0
80,,Lagos,local,,4.2,1999.0,Lexus,RX 330,Automatic,21.0
81,,Lagos,local,,4.4,2005.0,Toyota,Matrix,Automatic,15.0
82,,Lagos,local,,4.4,2007.0,Toyota,Camry,Automatic,13.0
83,,Lagos,foreign,,4.7,2014.0,Mercedes-Benz,ML 350,Automatic,6.0
84,,Lagos,local,,5.0,2015.0,Toyota,RAV 4,Automatic,5.0
85,,Lagos,local,,4.3,2005.0,Toyota,Camry,Automatic,15.0
86,,Lagos,local,,4.6,2011.0,Toyota,Highlander,Automatic,9.0
87,,Lagos,local,,4.9,2002.0,Lexus,ES 300,Automatic,18.0
88,,Lagos,local,,4.0,2008.0,Honda,Civic,Automatic,12.0
89,,Lagos,foreign,,4.9,2016.0,Toyota,RAV 4,Automatic,4.0
90,,Lagos,foreign,,4.9,2009.0,Toyota,RAV 4,Automatic,11.0
91,,Lagos,local,,4.6,2003.0,Toyota,Corolla,Automatic,17.0
92,,Lagos,foreign,,5.0,2013.0,Mercedes-Benz,ML 350,Automatic,7.0
93,,Lagos,foreign,,4.9,2008.0,Hyundai,Elantra,Automatic,12.0
94,,Lagos,local,,4.3,2007.0,Toyota,Corolla,Automatic,13.0
95,,Lagos,local,,4.4,2007.0,Toyota,Camry,Automatic,13.0
96,,Lagos,local,,4.7,2004.0,Toyota,Corolla,Automatic,16.0
97,,Lagos,foreign,,4.8,2010.0,Honda,Crosstour,Automatic,10.0
99,,Lagos,foreign,,4.5,2003.0,Toyota,Corolla,Automatic,17.0
100,,Lagos,foreign,,4.6,2007.0,Toyota,Sienna,Automatic,13.0
101,,Lagos,foreign,,4.6,2007.0,Honda,Accord,Automatic,13.0
102,,Lagos,foreign,,4.8,2016.0,Toyota,Corolla,Automatic,4.0
103,,Lagos,foreign,,4.8,2009.0,Hyundai,Santa Fe,Automatic,11.0
104,,Lagos,foreign,,4.6,2011.0,Toyota,Camry,Automatic,9.0
105,,Lagos,foreign,,4.9,2012.0,GMC,Terrain,Automatic,8.0
106,,Lagos,local,,3.8,2006.0,Toyota,Corolla,Automatic,14.0
107,,Lagos,local,,4.7,2003.0,Toyota,Camry,Automatic,17.0
108,,Lagos,foreign,,4.8,2017.0,Toyota,Corolla,Automatic,3.0
109,,Lagos,foreign,,4.9,2008.0,Toyota,Highlander,Automatic,12.0
110,,Lagos,foreign,,5.0,2011.0,Toyota,Camry,Automatic,9.0
111,,Abia,foreign,,4.7,2009.0,Toyota,Camry,Automatic,11.0
112,,Lagos,foreign,,4.8,2016.0,Hyundai,Sonata,Automatic,4.0
113,,Lagos,foreign,,4.9,2009.0,Toyota,Corolla,Automatic,11.0
114,,Lagos,foreign,,4.8,2007.0,Toyota,Camry,Automatic,13.0
115,,Lagos,foreign,,4.8,2013.0,Mercedes-Benz,ML 350,Automatic,7.0
116,,Lagos,foreign,,4.9,2007.0,Lexus,ES 350,Automatic,13.0
117,,Lagos,foreign,,4.8,2010.0,Toyota,Sienna,Automatic,10.0
118,,Lagos,foreign,,4.8,2012.0,Toyota,Corolla,Automatic,8.0
119,,Lagos,local,,4.6,2007.0,Honda,CR-V,Automatic,13.0
120,,Lagos,foreign,,4.9,2012.0,Toyota,Camry,Automatic,8.0
121,,Lagos,local,,4.4,2005.0,Toyota,Corolla,Automatic,15.0
122,,Lagos,local,,4.8,2004.0,Toyota,Corolla,Automatic,16.0
123,,Lagos,foreign,,4.9,2013.0,Toyota,Corolla,Automatic,7.0
124,,Lagos,foreign,,4.9,2006.0,Toyota,Highlander,Automatic,14.0
125,,Lagos,foreign,,5.0,2013.0,Mercedes-Benz,GLK 350,Automatic,7.0
126,,Lagos,foreign,,4.8,2011.0,Toyota,Highlander,Automatic,9.0
127,,Lagos,foreign,,4.9,2014.0,Toyota,Avalon,Automatic,6.0
128,,Lagos,foreign,,4.7,2016.0,Mercedes-Benz,G 63 AMG,Automatic,4.0
129,,Lagos,foreign,,4.9,2007.0,Toyota,Camry,Automatic,13.0
130,,Lagos,local,,4.9,2015.0,Hyundai,ix35,Automatic,5.0
131,,Lagos,foreign,,5.0,2005.0,Lexus,RX 330,Automatic,15.0
132,,Lagos,foreign,,5.0,2018.0,Mercedes-Benz,C 250,Automatic,2.0
133,,Lagos,foreign,,4.9,2006.0,Mercedes-Benz,ML 350,Automatic,14.0
134,,Lagos,foreign,,5.0,2009.0,Lexus,RX 350,Automatic,11.0
136,,Lagos,foreign,,5.0,2014.0,Lexus,GX 460,Automatic,6.0
137,,Lagos,foreign,,4.8,2013.0,Toyota,Venza,Automatic,7.0
138,,Lagos,foreign,,5.0,2010.0,Toyota,Camry,Automatic,10.0
139,,Lagos,foreign,,5.0,2007.0,Lexus,RX 350,Automatic,13.0
140,,Lagos,foreign,,4.8,2009.0,Ford,Escape,Automatic,11.0
141,,Lagos,foreign,,4.9,2008.0,Toyota,Highlander,Automatic,12.0
142,,Lagos,foreign,,4.4,2010.0,Honda,Crosstour,Automatic,10.0
143,,Lagos,foreign,,4.8,2013.0,Lexus,LX 570,Automatic,7.0
144,,Lagos,foreign,,4.8,2014.0,Toyota,Avalon,Automatic,6.0
145,,Lagos,foreign,,4.7,2007.0,Lexus,ES 350,Automatic,13.0
146,,Lagos,foreign,,4.9,2004.0,Toyota,RAV 4,Automatic,16.0
147,,Lagos,local,,4.0,2007.0,Lexus,ES 350,Automatic,13.0
148,,Ogun,local,,4.9,2011.0,Kia,Picanto,Automatic,9.0
149,,Lagos,foreign,,4.9,2005.0,Toyota,Sienna,Automatic,15.0
150,,Lagos,foreign,,5.0,2013.0,Lexus,ES 350,Automatic,7.0
151,,Lagos,foreign,,4.9,2013.0,Toyota,Corolla,Automatic,7.0
152,,Lagos,foreign,,5.0,2010.0,Acura,ZDX,Automatic,10.0
153,,Lagos,foreign,,4.9,2007.0,Volkswagen,Golf,Automatic,13.0
154,,Lagos,foreign,,4.9,2009.0,Toyota,Highlander,Automatic,11.0
155,,Lagos,foreign,,4.9,2017.0,Toyota,Highlander,Automatic,3.0
156,,Lagos,foreign,,4.9,2014.0,Honda,Accord,Automatic,6.0
157,,Lagos,foreign,,4.9,2016.0,Toyota,RAV 4,Automatic,4.0
158,,Lagos,foreign,,4.9,2018.0,Toyota,Camry,Automatic,2.0
159,,Lagos,foreign,,4.9,2017.0,Toyota,Highlander,Automatic,3.0
160,,Lagos,foreign,,4.7,2007.0,Ford,Escape,Automatic,13.0
161,,Lagos,foreign,,5.0,2010.0,Mercedes-Benz,GLK 350,Automatic,10.0
162,,Lagos,foreign,,5.0,2015.0,Toyota,Camry,Automatic,5.0
163,,Lagos,foreign,,5.0,2010.0,Toyota,Camry,Automatic,10.0
164,,Lagos,foreign,,5.0,2013.0,Toyota,Venza,Automatic,7.0
165,,Lagos,foreign,,5.0,2019.0,Toyota,Camry,Automatic,1.0
167,,Lagos,foreign,,4.9,2018.0,Toyota,RAV 4,Automatic,2.0
168,,Lagos,foreign,,4.9,2019.0,Toyota,RAV 4,Automatic,1.0
169,,Lagos,foreign,,5.0,2017.0,Toyota,Sienna,Automatic,3.0
170,,Lagos,foreign,,4.8,2011.0,Toyota,RAV 4,Automatic,9.0
171,,Lagos,foreign,,4.7,2010.0,Toyota,Sienna,Automatic,10.0
172,,Lagos,foreign,,4.6,2003.0,Lexus,GX 470,Automatic,17.0
173,,Lagos,foreign,,4.8,2005.0,Toyota,Highlander,Automatic,15.0
174,,Lagos,foreign,,5.0,2016.0,Lexus,RX 350,Automatic,4.0
175,,Lagos,local,,3.9,2004.0,Toyota,Sienna,Automatic,16.0
176,,Lagos,foreign,,5.0,2013.0,Toyota,4-Runner,Automatic,7.0
177,,Lagos,foreign,,4.9,2014.0,Acura,RDX,Automatic,6.0
178,,Lagos,foreign,,5.0,2008.0,Lexus,GS 350,Automatic,12.0
179,,Lagos,foreign,,5.0,2019.0,Mercedes-Benz,GLE 450,Automatic,1.0
180,,Lagos,foreign,,5.0,2014.0,Land,Rover Range Rover Sport,Automatic,6.0
181,,Ogun,foreign,,4.9,2004.0,Toyota,RAV 4,Automatic,16.0
182,,Lagos,foreign,,4.7,2011.0,Toyota,Highlander,Automatic,9.0
183,,Lagos,foreign,,4.9,2008.0,Toyota,Yaris,Automatic,12.0
184,,Lagos,foreign,,4.8,2004.0,Toyota,4-Runner,Automatic,16.0
185,,Lagos,foreign,,4.8,2005.0,Toyota,Camry,Automatic,15.0
186,,Lagos,local,,4.7,2016.0,Honda,Pilot,Automatic,4.0
187,,Lagos,foreign,,4.9,2004.0,Toyota,Camry,Automatic,16.0
188,,Lagos,local,,4.5,2009.0,Toyota,Venza,Automatic,11.0
189,,Lagos,foreign,,4.9,2016.0,Toyota,Highlander,Automatic,4.0
190,,Lagos,foreign,,4.8,2007.0,Toyota,RAV 4,Automatic,13.0
191,,Lagos,foreign,,4.9,2004.0,Lexus,RX 330,Automatic,16.0
192,,Lagos,foreign,,5.0,2007.0,Lexus,RX 350,Automatic,13.0
193,,Lagos,foreign,,4.8,2012.0,Toyota,Corolla,Automatic,8.0
194,,Lagos,local,,4.1,1998.0,Toyota,Camry,Automatic,22.0
195,,Lagos,foreign,,4.9,2010.0,Ford,Edge,Automatic,10.0
196,,Lagos,foreign,,4.9,2012.0,Mercedes-Benz,C 300,Automatic,8.0
197,,Lagos,foreign,,5.0,2007.0,Honda,Pilot,Automatic,13.0
198,,Lagos,local,,4.9,2004.0,Toyota,4-Runner,Automatic,16.0
199,,Lagos,foreign,,4.9,2010.0,BMW,335,Automatic,10.0
200,,Lagos,foreign,,4.9,2009.0,Toyota,Camry,Automatic,11.0
201,,Lagos,foreign,,5.0,2018.0,Toyota,Camry,Automatic,2.0
202,,Lagos,foreign,,4.9,2007.0,Toyota,Yaris,Automatic,13.0
203,,Lagos,foreign,,5.0,2013.0,Toyota,Corolla,Automatic,7.0
204,,Ogun,foreign,,4.9,2009.0,Nissan,Altima,Automatic,11.0
205,,Lagos,foreign,,5.0,2007.0,Toyota,RAV 4,Automatic,13.0
206,,Lagos,foreign,,5.0,2015.0,Toyota,Corolla,Automatic,5.0
207,,Lagos,foreign,,4.7,2006.0,Toyota,Corolla,Automatic,14.0
208,,Lagos,foreign,,5.0,2013.0,Toyota,RAV 4,Automatic,7.0
210,,Lagos,foreign,,4.9,2016.0,Toyota,Corolla,Automatic,4.0
211,,Lagos,foreign,,4.9,2005.0,Infiniti,FX,Automatic,15.0
212,,Lagos,foreign,,4.9,2012.0,GMC,Terrain,Automatic,8.0
213,,Lagos,foreign,,4.9,2010.0,Chrysler,300C,Automatic,10.0
214,,Lagos,foreign,,5.0,2011.0,Lexus,LS 460,Automatic,9.0
215,,Lagos,foreign,,5.0,2004.0,Toyota,RAV 4,Automatic,16.0
216,,Lagos,foreign,,5.0,2010.0,Toyota,Camry,Automatic,10.0
217,,Lagos,local,,4.4,2008.0,Mitsubishi,Pajero,Automatic,12.0
218,,Lagos,foreign,,4.9,2002.0,Nissan,Primera,Automatic,18.0
219,,Lagos,local,,4.6,2010.0,Infiniti,FX,Automatic,10.0
220,,Lagos,foreign,,5.0,2018.0,Lexus,LX 570,Automatic,2.0
221,,Lagos,foreign,,4.8,2006.0,Lexus,GS 300,Automatic,14.0
222,,Lagos,foreign,,4.8,2006.0,Mercedes-Benz,E 350,Automatic,14.0
223,,Lagos,foreign,,4.7,2003.0,Toyota,Matrix,Automatic,17.0
224,,Lagos,local,,4.5,2016.0,GAC,Gonow Other,Automatic,4.0
225,,Lagos,foreign,,4.9,2016.0,Toyota,Corolla,Automatic,4.0
226,,Lagos,local,,3.9,2003.0,Honda,Pilot,Automatic,17.0
227,,Lagos,foreign,,4.9,2017.0,Toyota,Corolla,Automatic,3.0
228,,Lagos,foreign,,5.0,2017.0,Toyota,Corolla,Automatic,3.0
229,,Lagos,foreign,,4.8,2013.0,Toyota,Camry,Automatic,7.0
230,,Lagos,foreign,,4.9,2017.0,Toyota,Corolla,Automatic,3.0
231,,Lagos,local,,4.5,2013.0,Hyundai,ix35,Automatic,7.0
232,,Lagos,foreign,,5.0,2012.0,Toyota,Camry,Automatic,8.0
233,,Lagos,local,,4.9,2005.0,Toyota,Camry,Automatic,15.0
234,,Lagos,foreign,,4.9,2008.0,Toyota,Highlander,Automatic,12.0
235,,Lagos,local,,4.4,2007.0,Toyota,Camry,Automatic,13.0
236,,Lagos,foreign,,5.0,2006.0,Lexus,GS 300,Automatic,14.0
237,,Lagos,local,,4.8,2005.0,Honda,Pilot,Automatic,15.0
238,,Lagos,foreign,,5.0,2007.0,Toyota,Corolla,Automatic,13.0
239,,Lagos,foreign,,5.0,2011.0,Toyota,RAV 4,Automatic,9.0
240,,Lagos,foreign,,4.9,2009.0,Toyota,Venza,Automatic,11.0
241,,Lagos,local,,4.4,2001.0,Toyota,Sienna,Automatic,19.0
242,,Lagos,foreign,,4.8,2009.0,Toyota,Highlander,Automatic,11.0
243,,Lagos,foreign,,4.8,2013.0,Toyota,Avalon,Automatic,7.0
244,,Lagos,foreign,,4.6,2005.0,Toyota,Tacoma,Automatic,15.0
245,,Lagos,local,,4.8,2005.0,Honda,Accord,Automatic,15.0
246,,Lagos,foreign,,4.7,2001.0,Lexus,ES 300,Automatic,19.0
247,,Lagos,foreign,,4.9,2010.0,Toyota,Hiace,Automatic,10.0
248,,Lagos,foreign,,4.9,2010.0,Acura,TSX,Automatic,10.0
249,,Lagos,foreign,,5.0,1998.0,Jaguar,XJ8,Automatic,22.0
250,,Lagos,foreign,,4.7,2006.0,Jeep,Cherokee,Automatic,14.0
251,,Lagos,local,,4.0,1997.0,Toyota,Tacoma,Automatic,23.0
252,,Lagos,local,,4.7,2005.0,Mitsubishi,Galant,Automatic,15.0
253,,Lagos,foreign,,5.0,2015.0,Lexus,RX 350,Automatic,5.0
254,,Lagos,foreign,,4.9,2009.0,Toyota,Sienna,Automatic,11.0
255,,Lagos,foreign,,4.8,2018.0,Toyota,Camry,Automatic,2.0
256,,Lagos,foreign,,4.7,2009.0,Toyota,Corolla,Automatic,11.0
257,,Lagos,foreign,,5.0,2008.0,Toyota,RAV 4,Automatic,12.0
259,,Lagos,foreign,,4.9,2017.0,Toyota,Corolla,Automatic,3.0
260,,Ogun,local,,4.0,2010.0,Volvo,XC60,Automatic,10.0
261,,Lagos,local,,3.8,2008.0,Toyota,Corolla,Automatic,12.0
262,,Lagos,local,,4.8,2011.0,Lexus,LX 570,Automatic,9.0
263,,Lagos,local,,4.9,2014.0,Honda,CR-V,Automatic,6.0
264,,Lagos,foreign,,5.0,2013.0,Toyota,Highlander,Automatic,7.0
265,,Lagos,foreign,,5.0,2016.0,Lexus,RX 350,Automatic,4.0
266,,Lagos,foreign,,5.0,2016.0,Lexus,RX 350,Automatic,4.0
267,,Lagos,foreign,,4.9,2011.0,Ford,Escape,Automatic,9.0
268,,Lagos,foreign,,5.0,2012.0,Toyota,Corolla,Automatic,8.0
269,,Lagos,foreign,,5.0,2018.0,Lexus,GX 460,Automatic,2.0
270,,Lagos,foreign,,5.0,2016.0,Mercedes-Benz,C 180,Automatic,4.0
271,,Lagos,foreign,,3.0,2007.0,Toyota,Camry,Automatic,13.0
272,,Lagos,foreign,,3.0,2009.0,Lexus,RX 350,Automatic,11.0
273,,Lagos,foreign,,4.7,2012.0,Mercedes-Benz,ML 350,Automatic,8.0
274,,Lagos,foreign,,5.0,2011.0,Toyota,Camry,Automatic,9.0
275,,Lagos,foreign,,4.9,2008.0,Acura,MDX,Automatic,12.0
276,,Lagos,foreign,,4.8,2007.0,Infiniti,M35,Automatic,13.0
277,,Lagos,foreign,,4.8,2013.0,Toyota,Corolla,Automatic,7.0
278,,Lagos,foreign,,4.9,2011.0,Hyundai,Sonata,Automatic,9.0
280,,Lagos,foreign,,5.0,2018.0,Lexus,LX 570,Automatic,2.0
281,,Lagos,foreign,,4.9,2004.0,Lexus,RX 330,Automatic,16.0
282,,Lagos,foreign,,4.9,2007.0,Lexus,ES 350,Automatic,13.0
283,,Lagos,foreign,,5.0,2016.0,Toyota,Land Cruiser,Automatic,4.0
284,,Lagos,foreign,,5.0,2016.0,Lexus,GX 460,Automatic,4.0
285,,Lagos,foreign,,4.9,2007.0,Lexus,ES 350,Automatic,13.0
286,,Lagos,foreign,,4.9,2013.0,Toyota,Corolla,Automatic,7.0
287,,Lagos,foreign,,4.9,2007.0,Toyota,Camry,Automatic,13.0
288,,Lagos,foreign,,4.5,2011.0,Ford,Explorer,Automatic,9.0
289,,Lagos,foreign,,4.8,2020.0,Toyota,Corolla,Automatic,0.0
290,,Lagos,foreign,,4.8,2015.0,Toyota,Venza,Automatic,5.0
291,,Lagos,foreign,,5.0,2014.0,Toyota,Sienna,Automatic,6.0
292,,Lagos,foreign,,4.9,2013.0,Land,Rover Range Rover Sport,Automatic,7.0
293,,Lagos,foreign,,4.9,2010.0,Audi,Q7,Automatic,10.0
294,,Lagos,foreign,,4.8,2011.0,Toyota,Sienna,Automatic,9.0
295,,Lagos,foreign,,4.9,2015.0,Toyota,Avalon,Automatic,5.0
296,,Lagos,foreign,,5.0,2016.0,Mercedes-Benz,GLE 400,Automatic,4.0
297,,Lagos,foreign,,5.0,2013.0,Land,Rover Range Rover Evoque,Automatic,7.0
298,,Lagos,foreign,,4.9,2013.0,Hyundai,Accent,Automatic,7.0
299,,Lagos,foreign,,5.0,2016.0,Mercedes-Benz,GLE 63 AMG,Automatic,4.0
300,,Lagos,foreign,,5.0,2013.0,Mercedes-Benz,220,Automatic,7.0
301,,Lagos,foreign,,4.8,2008.0,Mercedes-Benz,300,Automatic,12.0
302,,Lagos,local,,4.9,2014.0,Land,Rover Range Rover Sport,Automatic,6.0
303,,Lagos,foreign,,5.0,2014.0,Mercedes-Benz,220,Automatic,6.0
304,,Lagos,foreign,,4.9,2008.0,Honda,Accord,Automatic,12.0
305,,Lagos,foreign,,5.0,2004.0,Lexus,RX 330,Automatic,16.0
306,,Lagos,foreign,,4.8,2008.0,Acura,MDX,Automatic,12.0
307,,Lagos,foreign,,4.7,2008.0,Acura,MDX,Automatic,12.0
308,,Lagos,foreign,,4.7,2010.0,Hyundai,Elantra,Automatic,10.0
310,,Lagos,foreign,,4.8,2016.0,Toyota,Highlander,Automatic,4.0
311,,Lagos,foreign,,4.9,2005.0,Toyota,Corolla,Automatic,15.0
312,,Lagos,foreign,,4.9,2017.0,Toyota,Camry,Automatic,3.0
313,,Lagos,foreign,,4.9,2010.0,Mercedes-Benz,GLK 350,Automatic,10.0
314,,Lagos,foreign,,5.0,2018.0,Toyota,Camry,Automatic,2.0
315,,Lagos,foreign,,5.0,2016.0,Mercedes-Benz,S 550,Automatic,4.0
316,,Lagos,foreign,,5.0,2007.0,Lexus,ES 350,Automatic,13.0
318,,Lagos,foreign,,4.9,2013.0,Toyota,RAV 4,Automatic,7.0
319,,Lagos,foreign,,4.8,2004.0,Toyota,Corolla,Automatic,16.0
320,,Lagos,foreign,,4.9,2003.0,Toyota,Corolla,Automatic,17.0
321,,Lagos,foreign,,4.9,2013.0,Land,Rover Range Rover,Automatic,7.0
322,,Lagos,foreign,,5.0,2019.0,Land,Rover Range Rover,Automatic,1.0
323,,Lagos,foreign,,4.9,2019.0,Honda,CR-V,Automatic,1.0
324,,Lagos,foreign,,4.9,2014.0,Lexus,ES 350,Automatic,6.0
325,,Lagos,foreign,,4.9,2013.0,Ford,F 150,Automatic,7.0
326,,Lagos,foreign,,4.9,2010.0,Toyota,4-Runner,Automatic,10.0
327,,Lagos,foreign,,5.0,2011.0,Hyundai,Elantra,Automatic,9.0
328,,Lagos,foreign,,5.0,2020.0,Toyota,Corolla,Automatic,0.0
329,,Lagos,foreign,,5.0,2018.0,Honda,Accord,Automatic,2.0
330,,Lagos,foreign,,4.7,2007.0,Mercedes-Benz,GL 450,Automatic,13.0
331,,Lagos,foreign,,4.7,2012.0,Toyota,Corolla,Automatic,8.0
332,,Lagos,foreign,,4.8,2004.0,Lexus,RX 300,Automatic,16.0
333,,Lagos,local,,4.9,2016.0,GAC,Gonow Other,Automatic,4.0
334,,Lagos,local,,4.2,2003.0,Toyota,Camry,Automatic,17.0
335,,Lagos,foreign,,5.0,2019.0,Lexus,RX 350,Automatic,1.0
336,,Lagos,foreign,,4.6,2009.0,Toyota,Venza,Automatic,11.0
337,,Lagos,foreign,,4.9,2017.0,Lexus,GX 460,Automatic,3.0
338,,Lagos,foreign,,5.0,2018.0,Lexus,GX 460,Automatic,2.0
339,,Lagos,foreign,,4.9,2018.0,Toyota,Camry,Automatic,2.0
340,,Lagos,foreign,,5.0,2018.0,Lexus,LX 570,Automatic,2.0
341,,Lagos,foreign,,4.9,2016.0,Toyota,4-Runner,Automatic,4.0
342,,Lagos,foreign,,5.0,2017.0,Mercedes-Benz,E 300,Automatic,3.0
343,,Lagos,local,,5.0,2008.0,Toyota,Land Cruiser,Automatic,12.0
344,,Lagos,foreign,,5.0,2013.0,Ford,Escape,Automatic,7.0
345,,Lagos,foreign,,4.8,2004.0,Toyota,Camry,Automatic,16.0
346,,Lagos,foreign,,4.9,2004.0,Toyota,Camry,Automatic,16.0
347,,Lagos,foreign,,5.0,2011.0,Toyota,Corolla,Automatic,9.0
348,,Lagos,foreign,,5.0,2011.0,Toyota,Corolla,Automatic,9.0
349,,Lagos,foreign,,5.0,2018.0,Toyota,Camry,Automatic,2.0
350,,Lagos,foreign,,4.9,2015.0,Toyota,Venza,Automatic,5.0
351,,Lagos,foreign,,4.8,2008.0,Honda,Accord,Automatic,12.0
