,0,1,2,3,4,5,6,7,8,9,10
0,"3,755,000",Lagos,Foreign Used,automatic,Black,0 km,Toyota,Matrix,2011,5.00,Toyota Matrix 2011 
1,"24,765,000",Lagos,Foreign Used,automatic,Pale brown,"45,133 km",Mercedes-Benz,200,2018,5.00,Mercedes-Benz 200 2018 
