,0,1,2,3,4,5,6,7,8,9,10
0,"₦ 8,635,000                                ",Audi,A7,2013,30866,"C45 , Abuja",Automatic,Registered,BLACK,4-stars,2013 Audi A7
1,"₦ 2,270,000                                ",Toyota,Sequoia,2003,119905,"C45 , Lagos",Automatic,Registered,Silver,2-stars,2003 Toyota Sequoia
